GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC01_EST_VC39,HC01_MOE_VC39,HC02_EST_VC39,HC02_MOE_VC39,HC01_EST_VC40,HC01_MOE_VC40,HC02_EST_VC40,HC02_MOE_VC40,HC01_EST_VC41,HC01_MOE_VC41,HC02_EST_VC41,HC02_MOE_VC41
Id,Id2,Geography,Total; Estimate; Households,Total; Margin of Error; Households,Median income (dollars); Estimate; Households,Median income (dollars); Margin of Error; Households,Total; Estimate; Households - One race-- - White,Total; Margin of Error; Households - One race-- - White,Median income (dollars); Estimate; Households - One race-- - White,Median income (dollars); Margin of Error; Households - One race-- - White,Total; Estimate; Households - One race-- - Black or African American,Total; Margin of Error; Households - One race-- - Black or African American,Median income (dollars); Estimate; Households - One race-- - Black or African American,Median income (dollars); Margin of Error; Households - One race-- - Black or African American,Total; Estimate; Households - One race-- - American Indian and Alaska Native,Total; Margin of Error; Households - One race-- - American Indian and Alaska Native,Median income (dollars); Estimate; Households - One race-- - American Indian and Alaska Native,Median income (dollars); Margin of Error; Households - One race-- - American Indian and Alaska Native,Total; Estimate; Households - One race-- - Asian,Total; Margin of Error; Households - One race-- - Asian,Median income (dollars); Estimate; Households - One race-- - Asian,Median income (dollars); Margin of Error; Households - One race-- - Asian,Total; Estimate; Households - One race-- - Native Hawaiian and Other Pacific Islander,Total; Margin of Error; Households - One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Estimate; Households - One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Margin of Error; Households - One race-- - Native Hawaiian and Other Pacific Islander,Total; Estimate; Households - One race-- - Some other race,Total; Margin of Error; Households - One race-- - Some other race,Median income (dollars); Estimate; Households - One race-- - Some other race,Median income (dollars); Margin of Error; Households - One race-- - Some other race,Total; Estimate; Households - Two or more races,Total; Margin of Error; Households - Two or more races,Median income (dollars); Estimate; Households - Two or more races,Median income (dollars); Margin of Error; Households - Two or more races,Total; Estimate; Hispanic or Latino origin (of any race),Total; Margin of Error; Hispanic or Latino origin (of any race),Median income (dollars); Estimate; Hispanic or Latino origin (of any race),Median income (dollars); Margin of Error; Hispanic or Latino origin (of any race),"Total; Estimate; White alone, not Hispanic or Latino","Total; Margin of Error; White alone, not Hispanic or Latino","Median income (dollars); Estimate; White alone, not Hispanic or Latino","Median income (dollars); Margin of Error; White alone, not Hispanic or Latino",Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Estimate; FAMILIES - Families,Total; Margin of Error; FAMILIES - Families,Median income (dollars); Estimate; FAMILIES - Families,Median income (dollars); Margin of Error; FAMILIES - Families,Total; Estimate; FAMILIES - Families - With own children under 18 years,Total; Margin of Error; FAMILIES - Families - With own children under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With own children under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With own children under 18 years,Total; Estimate; FAMILIES - Families - With no own children under 18 years,Total; Margin of Error; FAMILIES - Families - With no own children under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With no own children under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With no own children under 18 years,Total; Estimate; FAMILIES - Families - Married-couple families,Total; Margin of Error; FAMILIES - Families - Married-couple families,Median income (dollars); Estimate; FAMILIES - Families - Married-couple families,Median income (dollars); Margin of Error; FAMILIES - Families - Married-couple families,"Total; Estimate; FAMILIES - Families - Female householder, no husband present","Total; Margin of Error; FAMILIES - Families - Female householder, no husband present","Median income (dollars); Estimate; FAMILIES - Families - Female householder, no husband present","Median income (dollars); Margin of Error; FAMILIES - Families - Female householder, no husband present","Total; Estimate; FAMILIES - Families - Male householder, no wife present","Total; Margin of Error; FAMILIES - Families - Male householder, no wife present","Median income (dollars); Estimate; FAMILIES - Families - Male householder, no wife present","Median income (dollars); Margin of Error; FAMILIES - Families - Male householder, no wife present",Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Total; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Household income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Family income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months
0500000US01001,01001,"Autauga County, Alabama",20304,458,52475,2760,80.9,1.2,57146,3505,16.8,1.0,30910,4025,0.6,0.2,16027,18245,0.4,0.2,84716,245523,0.0,0.1,-,**,0.2,0.2,86679,20651,1.1,0.5,63529,53580,1.6,0.4,56538,48340,79.7,1.2,57435,3801,3.0,0.9,34879,2899,35.4,1.6,54751,4523,40.3,1.4,58829,4934,21.3,1.0,39338,3317,14272,457,64417,3666,44.6,2.1,62287,5494,55.4,2.1,66387,4879,78.4,2.4,74573,2952,16.9,2.2,27700,4021,4.8,1.5,44375,19737,6032,480,30101,2713,51.2,4.0,26406,3939,44.4,4.0,22606,4890,6.8,2.8,38871,11026,48.8,4.0,34934,5235,42.7,4.5,34167,5917,6.1,2.2,36667,20738,25.1,(X),(X),(X),25.6,(X),(X),(X),23.6,(X),(X),(X)
0500000US01003,01003,"Baldwin County, Alabama",73058,1241,50183,1378,89.4,0.6,52365,1597,7.7,0.5,27271,2872,0.5,0.2,97917,17359,0.5,0.1,43043,31145,0.0,0.1,-,**,0.6,0.2,66926,18482,1.3,0.4,29431,5108,2.4,0.4,42238,9383,87.5,0.7,52706,1678,2.6,0.5,29471,3069,28.3,0.9,53318,2702,40.4,1.0,56602,3573,28.7,0.6,41500,1678,50624,1138,61621,2685,36.1,1.2,57465,4126,63.9,1.2,63937,3090,79.4,1.4,70733,2028,15.2,1.2,28398,4018,5.4,0.9,41150,3956,22434,1144,28845,1767,58.8,2.4,25249,1772,52.8,2.5,23385,1595,6.0,1.5,51375,14034,41.2,2.4,34245,5042,35.0,2.4,29758,2532,6.3,1.4,68092,25575,28.8,(X),(X),(X),29.9,(X),(X),(X),25.6,(X),(X),(X)
0500000US01005,01005,"Barbour County, Alabama",9145,311,35634,2440,53.5,1.8,46208,4258,41.7,1.9,24443,3315,0.3,0.4,-,**,0.4,0.4,42330,98019,0.0,0.3,-,**,2.4,1.2,19481,36205,1.6,0.8,14250,28707,3.6,1.1,19254,26252,52.6,1.8,46334,4339,2.7,1.0,9841,8381,27.9,2.1,38139,7693,41.1,1.9,43000,4430,28.4,1.6,26221,2964,6003,280,44730,2808,39.6,2.9,35762,6700,60.4,2.9,50481,4571,66.2,3.2,58776,4568,29.0,3.1,19859,2736,4.9,1.5,42877,5706,3142,288,19450,2097,55.3,4.3,15162,1752,50.9,4.2,14924,1539,4.5,2.4,19408,10163,44.7,4.3,25979,3138,41.3,4.3,25038,2844,3.3,1.7,42250,11809,38.1,(X),(X),(X),42.3,(X),(X),(X),27.3,(X),(X),(X)
0500000US01007,01007,"Bibb County, Alabama",7078,390,37984,3295,82.4,2.5,41269,2530,16.5,2.4,21722,7397,0.5,0.5,20724,8469,0.0,0.4,-,**,0.0,0.4,-,**,0.0,0.4,-,**,0.6,0.5,31364,69420,1.2,0.8,43750,4538,81.1,2.7,41060,2560,1.9,1.1,16964,17677,30.3,2.8,42389,6313,41.0,3.1,42355,3586,26.8,2.3,28183,4563,5344,338,42846,3180,36.2,4.6,38674,4431,63.8,4.6,47917,6683,75.2,4.2,51764,3463,20.0,3.8,20019,2944,4.7,2.2,25245,8801,1734,322,19339,5468,40.1,6.8,15247,1899,37.8,7.0,14758,1487,2.2,1.9,29375,60691,59.9,6.8,28542,7193,53.3,7.3,25938,11912,6.6,4.6,41538,10317,38.6,(X),(X),(X),39.7,(X),(X),(X),31.8,(X),(X),(X)
0500000US01009,01009,"Blount County, Alabama",20934,399,44409,2225,96.5,0.6,45265,2445,1.2,0.4,28750,4906,0.4,0.3,60324,8205,0.1,0.1,7039,36744,0.0,0.1,-,**,0.7,0.4,29102,5229,1.1,0.5,37014,13801,4.9,0.7,31532,9846,92.3,0.8,46493,2618,2.7,0.8,31698,7584,32.7,1.6,49987,4457,39.2,1.4,51998,3305,25.4,1.1,30774,1689,15682,468,51814,2484,41.4,2.2,50930,3586,58.6,2.2,52437,5954,78.8,2.6,60456,2577,13.6,2.2,23402,3344,7.6,1.7,45909,5578,5252,399,23934,3329,51.6,4.1,20372,3060,47.2,4.1,19188,3031,4.5,1.7,38155,13950,48.4,4.1,30750,7522,43.5,4.3,27109,8770,4.9,1.9,46705,11532,27.3,(X),(X),(X),27.9,(X),(X),(X),22.8,(X),(X),(X)
0500000US01011,01011,"Bullock County, Alabama",3746,216,34804,7035,32.5,5.4,51335,10615,66.8,5.5,26469,5979,0.4,0.6,-,**,0.0,0.8,-,**,0.0,0.8,-,**,0.0,0.8,-,**,0.2,0.4,-,**,3.0,3.1,-,**,29.6,3.5,46968,9550,3.6,2.2,13023,12126,25.5,4.4,40000,11754,43.8,4.5,43247,4610,27.2,3.6,24750,7682,2265,269,44724,5980,34.6,7.4,41383,4811,65.4,7.4,50818,8690,46.4,6.3,63391,7368,43.5,5.8,27750,7829,10.2,5.0,41571,14458,1481,233,21998,2257,44.1,7.9,22594,11670,41.3,7.4,17134,9521,2.8,3.1,-,**,55.9,7.9,21922,6195,44.7,8.3,20636,4174,11.2,6.9,68549,17023,47.7,(X),(X),(X),43.9,(X),(X),(X),52.4,(X),(X),(X)
0500000US01013,01013,"Butler County, Alabama",8253,252,31571,1876,56.2,1.4,42058,4825,41.6,1.6,22945,2133,0.2,0.3,13194,9254,0.9,0.7,100640,11764,0.0,0.4,-,**,0.2,0.4,-,**,0.8,0.5,16012,9065,1.2,0.5,43897,60959,55.2,1.3,42019,4687,4.9,1.2,24917,11719,25.1,1.7,33567,7220,41.8,1.8,36817,4983,28.2,1.7,25682,3801,5384,321,39681,2995,37.9,2.9,28750,5630,62.1,2.9,44593,3368,60.8,3.2,56258,2484,30.9,3.1,20649,3184,8.2,2.2,35125,10053,2869,270,17242,1892,61.0,4.4,16218,2476,55.9,5.1,14834,2222,5.0,2.7,43750,35319,39.0,4.4,22759,8181,33.2,4.5,20850,7653,5.8,3.2,49063,48176,28.4,(X),(X),(X),29.8,(X),(X),(X),24.4,(X),(X),(X)
0500000US01015,01015,"Calhoun County, Alabama",45348,705,40919,1054,76.8,0.8,44789,1693,20.5,0.8,25854,2554,0.4,0.2,45781,27907,0.5,0.2,40833,44048,0.0,0.1,-,**,0.7,0.2,40972,31203,1.1,0.2,30455,14111,2.4,0.4,30329,8018,75.4,0.8,45221,1805,5.2,0.6,19125,3722,29.6,0.9,41739,3151,40.0,0.9,49975,2966,25.2,0.7,33641,1710,30601,767,51455,1895,37.9,1.5,44159,5069,62.1,1.5,54365,2177,69.7,1.8,63319,2069,23.7,1.7,23598,3104,6.6,1.0,37885,13137,14747,671,22232,1318,56.0,2.1,18490,1838,49.0,2.2,17443,1626,7.1,1.4,26896,4524,44.0,2.1,30467,3171,36.2,2.2,28554,4414,7.8,1.2,39331,9749,31.1,(X),(X),(X),31.8,(X),(X),(X),28.2,(X),(X),(X)
0500000US01017,01017,"Chambers County, Alabama",13901,393,32835,2103,60.2,1.5,41322,2656,38.1,1.5,22739,2346,0.3,0.3,-,**,0.6,0.2,65521,10008,0.0,0.2,-,**,0.1,0.1,-,**,0.7,0.3,42685,11677,0.2,0.2,28295,54004,60.0,1.5,41433,2742,1.9,0.7,32381,7774,30.0,1.6,33333,4847,40.7,1.5,38651,3069,27.4,1.4,27008,3180,8818,410,43342,1972,35.7,2.5,31557,2806,64.3,2.5,48355,2726,64.7,3.1,57639,4762,28.2,2.9,21105,1598,7.1,1.5,33494,8634,5083,389,19709,2401,56.9,3.7,16761,1136,53.2,3.8,16188,1131,3.7,1.4,34474,22407,43.1,3.7,23706,4074,38.6,3.7,22273,3311,4.6,2.1,47909,20842,29.7,(X),(X),(X),31.8,(X),(X),(X),24.8,(X),(X),(X)
