GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Population of one race:,Margin of Error; Population of one race:,Estimate; Population of one race: - White,Margin of Error; Population of one race: - White,Estimate; Population of one race: - Black or African American,Margin of Error; Population of one race: - Black or African American,Estimate; Population of one race: - American Indian and Alaska Native,Margin of Error; Population of one race: - American Indian and Alaska Native,Estimate; Population of one race: - Asian alone,Margin of Error; Population of one race: - Asian alone,Estimate; Population of one race: - Native Hawaiian and Other Pacific Islander,Margin of Error; Population of one race: - Native Hawaiian and Other Pacific Islander,Estimate; Population of one race: - Some other race,Margin of Error; Population of one race: - Some other race,Estimate; Population of two or more races:,Margin of Error; Population of two or more races:,Estimate; Population of two or more races: - Two races including Some other race,Margin of Error; Population of two or more races: - Two races including Some other race,"Estimate; Population of two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Population of two or more races: - Two races excluding Some other race, and three or more races",Estimate; Population of two or more races: - Population of two races:,Margin of Error; Population of two or more races: - Population of two races:,Estimate; Population of two or more races: - Population of two races: - White; Black or African American,Margin of Error; Population of two or more races: - Population of two races: - White; Black or African American,Estimate; Population of two or more races: - Population of two races: - White; American Indian and Alaska Native,Margin of Error; Population of two or more races: - Population of two races: - White; American Indian and Alaska Native,Estimate; Population of two or more races: - Population of two races: - White; Asian,Margin of Error; Population of two or more races: - Population of two races: - White; Asian,Estimate; Population of two or more races: - Population of two races: - Black or African American; American Indian and Alaska Native,Margin of Error; Population of two or more races: - Population of two races: - Black or African American; American Indian and Alaska Native,Estimate; Population of two or more races: - Population of two races: - All other two race combinations,Margin of Error; Population of two or more races: - Population of two races: - All other two race combinations,Estimate; Population of three races,Margin of Error; Population of three races,Estimate; Population of four or more races,Margin of Error; Population of four or more races
0500000US01001,01001,"Autauga County, Alabama",53944,*****,53109,184,42577,201,9755,147,114,68,385,97,0,89,278,145,835,184,76,94,759,151,815,181,125,107,357,65,223,97,19,25,91,101,20,29,0,89
0500000US01003,01003,"Baldwin County, Alabama",179523,*****,177070,503,155068,738,16936,370,1119,253,1207,172,2,5,2738,761,2453,503,226,162,2227,486,2286,466,367,175,1005,245,350,162,229,247,335,182,167,169,0,89
0500000US01005,01005,"Barbour County, Alabama",27546,*****,26955,212,13576,223,12632,267,92,88,147,165,0,89,508,294,591,212,68,83,523,224,531,199,141,102,94,79,27,29,172,110,97,95,60,83,0,89
0500000US01007,01007,"Bibb County, Alabama",22746,*****,22690,42,17437,22,5153,96,77,85,12,22,0,89,11,21,56,42,0,89,56,42,56,42,3,8,18,21,0,89,35,35,0,89,0,89,0,89
0500000US01009,01009,"Blount County, Alabama",57140,*****,56404,239,54446,319,806,209,342,228,48,48,0,89,762,305,736,239,18,27,718,240,736,239,297,162,346,158,75,80,0,89,18,27,0,89,0,89
0500000US01011,01011,"Bullock County, Alabama",10877,*****,10770,81,3115,89,7619,102,18,31,0,89,18,48,0,89,107,81,0,89,107,81,79,66,0,89,34,47,0,89,40,33,5,15,28,45,0,89
0500000US01013,01013,"Butler County, Alabama",20860,*****,20714,106,11428,89,9091,188,30,30,164,144,0,89,1,4,146,106,46,72,100,81,146,106,44,57,51,60,0,89,0,89,51,72,0,89,0,89
0500000US01015,01015,"Calhoun County, Alabama",117614,*****,115494,391,88450,416,24103,348,330,123,762,158,82,98,1767,428,2120,391,145,148,1975,390,1937,360,652,270,729,163,205,124,84,65,267,165,183,115,0,89
0500000US01017,01017,"Chambers County, Alabama",34375,*****,34017,142,20299,140,13490,67,14,23,149,38,17,26,48,48,358,142,68,68,290,150,358,142,45,34,186,150,44,38,15,22,68,68,0,89,0,89
0500000US01019,01019,"Cherokee County, Alabama",25819,*****,25564,92,23948,72,1283,99,181,61,57,51,3,6,92,83,255,92,35,48,220,81,255,92,83,55,103,61,24,41,10,16,35,48,0,89,0,89
